x,y,grad_x,grad_y,magnitude,valid
-2.607,2.699,26.973561,28.506925,39.245608,1
-2.107,2.699,28.379786,21.095494,35.361449,1
-1.607,2.699,51.030218,4.096070,51.194345,1
-1.107,2.699,62.120411,-4.162233,62.259695,1
-0.607,2.699,57.190219,0.023756,57.190224,1
-0.107,2.699,52.475136,4.695445,52.684790,1
0.393,2.699,113.176451,-63.134808,129.595189,1
0.893,2.699,114.191275,-69.493539,133.674976,1
1.393,2.699,29.194995,62.099186,68.619652,1
1.893,2.699,-73.149045,293.686841,302.659451,1
2.393,2.699,-144.687340,518.652300,538.455787,1
2.893,2.699,-34.985846,130.424134,135.035048,0
3.393,2.699,-22.883847,67.820511,71.577176,0
3.893,2.699,-27.734799,57.392421,63.742522,0
4.393,2.699,-49.063484,69.937387,85.431046,0
4.893,2.699,-73.216197,85.925164,112.888198,0
5.393,2.699,-121.746267,116.594582,168.571795,1
5.893,2.699,-165.886822,138.940037,216.385701,1
6.393,2.699,-134.829782,129.594660,187.012957,1
6.893,2.699,223.523975,32.095395,225.816478,1
7.393,2.699,399.591456,-2.214350,399.597591,1
7.893,2.699,627.451004,-91.029473,634.019816,1
8.393,2.699,0.000000,0.000000,0.000000,0
8.893,2.699,0.000000,0.000000,0.000000,0
9.393,2.699,0.000000,0.000000,0.000000,0
9.893,2.699,0.000000,0.000000,0.000000,0
-4.607,3.199,0.000000,0.000000,0.000000,0
-4.107,3.199,0.000000,0.000000,0.000000,0
-3.607,3.199,0.000000,0.000000,0.000000,0
-3.107,3.199,0.000000,0.000000,0.000000,0
-2.607,3.199,0.000000,0.000000,0.000000,0
-2.107,3.199,-2.029925,51.910618,51.950292,1
-1.607,3.199,40.121825,15.416289,42.981656,1
-1.107,3.199,55.885181,2.325019,55.933525,1
-0.607,3.199,55.045473,3.796437,55.176236,1
-0.107,3.199,50.323700,8.958622,51.114888,1
0.393,3.199,123.178472,-87.666266,151.189650,1
0.893,3.199,121.252588,-88.656095,150.206835,1
1.393,3.199,13.346955,109.445173,110.256007,1
1.893,3.199,-111.529347,428.702238,442.972239,1
2.393,3.199,-100.175952,356.632623,370.434946,1
2.893,3.199,-10.781100,49.194887,50.362378,0
3.393,3.199,-19.975906,53.429883,57.041995,0
3.893,3.199,-32.443742,59.903130,68.124748,0
4.393,3.199,-49.063484,69.937387,85.431046,0
4.893,3.199,-73.216197,85.925164,112.888198,0
5.393,3.199,-148.991831,132.010604,199.061209,1
5.893,3.199,-165.886822,138.940037,216.385701,1
6.393,3.199,-91.753790,116.572127,148.350324,0
6.893,3.199,223.523975,32.095395,225.816478,1
7.393,3.199,564.559190,-15.416227,564.769634,1
7.893,3.199,565.971106,-42.959520,567.599165,1
8.393,3.199,0.000000,0.000000,0.000000,0
8.893,3.199,0.000000,0.000000,0.000000,0
9.393,3.199,0.000000,0.000000,0.000000,0
9.893,3.199,0.000000,0.000000,0.000000,0
-4.607,3.699,0.000000,0.000000,0.000000,0
-4.107,3.699,0.000000,0.000000,0.000000,0
-3.607,3.699,0.000000,0.000000,0.000000,0
-3.107,3.699,0.000000,0.000000,0.000000,0
-2.607,3.699,0.000000,0.000000,0.000000,0
-2.107,3.699,0.000000,0.000000,0.000000,0
-1.607,3.699,14.037673,38.839491,41.298454,1
-1.107,3.699,54.999276,0.158390,54.999504,1
-0.607,3.699,61.454413,-5.978916,61.744573,1
-0.107,3.699,47.729970,12.836827,49.426048,1
0.393,3.699,125.279103,-115.057693,170.097403,1
0.893,3.699,167.856542,-193.547263,256.195944,1
1.393,3.699,-20.184952,219.351978,220.278738,1
1.893,3.699,-139.146541,583.476371,599.838675,1
2.393,3.699,-22.197773,89.945243,92.643876,0
2.893,3.699,-16.457423,51.729093,54.283937,0
3.393,3.699,-27.734799,57.392421,63.742522,0
3.893,3.699,-37.318591,62.712260,72.976056,0
4.393,3.699,-55.958670,74.435187,93.123412,0
4.893,3.699,-100.410710,103.420865,144.146405,1
5.393,3.699,-148.991831,132.010604,199.061209,1
5.893,3.699,-173.156241,141.355372,223.527236,1
6.393,3.699,-22.994242,96.360573,99.066115,1
6.893,3.699,306.325595,15.419793,306.713449,1
7.393,3.699,564.559190,-15.416227,564.769634,1
7.893,3.699,379.641472,-13.142582,379.868892,1
8.393,3.699,0.000000,0.000000,0.000000,0
8.893,3.699,0.000000,0.000000,0.000000,0
9.393,3.699,0.000000,0.000000,0.000000,0
9.893,3.699,0.000000,0.000000,0.000000,0
-4.607,4.199,0.000000,0.000000,0.000000,0
-4.107,4.199,0.000000,0.000000,0.000000,0
-3.607,4.199,0.000000,0.000000,0.000000,0
-3.107,4.199,0.000000,0.000000,0.000000,0
-2.607,4.199,0.000000,0.000000,0.000000,0
-2.107,4.199,0.000000,0.000000,0.000000,0
-1.607,4.199,0.000000,0.000000,0.000000,0
-1.107,4.199,57.931324,-32.112528,66.236340,1
-0.607,4.199,96.195782,-75.602682,122.349475,1
-0.107,4.199,68.428201,-24.693961,72.747580,1
0.393,4.199,50.048164,9.866755,51.011485,1
0.893,4.199,211.277818,-324.173632,386.945552,1
1.393,4.199,64.934752,23.350268,69.005485,1
1.893,4.199,-197.439513,830.295301,853.447507,1
2.393,4.199,-16.457423,51.729093,54.283937,0
2.893,4.199,-23.651063,55.277815,60.124950,0
3.393,4.199,-37.318591,62.712260,72.976056,0
3.893,4.199,-49.063484,69.937387,85.431046,0
4.393,4.199,-73.216197,85.925164,112.888198,0
4.893,4.199,-121.746267,116.594582,168.571795,1
5.393,4.199,-166.052953,136.822281,215.160219,1
5.893,4.199,-161.402055,137.703309,212.162261,1
6.393,4.199,92.020856,64.166346,112.183590,1
6.893,4.199,392.182407,2.606648,392.191069,1
7.393,4.199,564.559190,-15.416227,564.769634,1
7.893,4.199,285.640045,-16.270562,286.103069,1
8.393,4.199,0.000000,0.000000,0.000000,0
8.893,4.199,0.000000,0.000000,0.000000,0
9.393,4.199,0.000000,0.000000,0.000000,0
9.893,4.199,0.000000,0.000000,0.000000,0
-4.607,4.699,0.000000,0.000000,0.000000,0
-4.107,4.699,0.000000,0.000000,0.000000,0
-3.607,4.699,0.000000,0.000000,0.000000,0
-3.107,4.699,0.000000,0.000000,0.000000,0
-2.607,4.699,0.000000,0.000000,0.000000,0
-2.107,4.699,0.000000,0.000000,0.000000,0
